entityhandle,version,pipenum,substance,temp,pressure,phase,from,to,drawnum,insulation
''4BC79,','PL40107-40-2J1,¼×Ëá¼×õ¥,' ,' ,'  ,'P23102,'R23102,'S20C14-23-04-01,'
''45C4B,','CWR40101-25-1A1,¼×Ëá¼×õ¥,' ,' ,' ,'E23102,'Ñ­»·Ë®»Ø×Ü¹Ü,'S20C14-23-04-01,'
''45C37,','CWS40101-25-1A1,¼×Ëá¼×õ¥,' ,' ,' ,'Ñ­»·Ë®ÉÏ×Ü¹Ü,'E23102,'S20C14-23-04-01,'
''45C23,','SC40101-25-2A1-P3,¼×Ëá¼×õ¥,' ,' ,' ,'E23102,'ÕôÆûÀäÄýË®×Ü¹Ü,'S20C14-23-04-01,'
''45C0F,','LS40101-25-2A1-H5,¼×Ëá¼×õ¥,' ,' ,' ,'ÕôÆû×Ü¹Ü,'E23102,'S20C14-23-04-01,'
''45BFB,','RWSa40102-25-2A5-C4,¼×Ëá¼×õ¥,' ,' ,' ,'RWSa23102-25-2A5-C4,'R23101,'S20C14-23-04-01,'
''45BBF,','RWRa40101-25-2A5-C4,¼×Ëá¼×õ¥,'-10¡æ,'0.4MPa,'L,'P23101,'E23102,'S20C14-23-04-01,'
''45BAB,','RWRa40104-25-2A5-C4,¼×Ëá¼×õ¥,'-10¡æ,'0.4MPa,'L,'R23101,'P23101,'S20C14-23-04-01,'
''45B97,','RWRa40102-25-2A5-C4,¼×Ëá¼×õ¥,'-10¡æ,'0.4MPa,'L,'R23101,'Àä¶³Ë®×Ü¹Ü,'S20C14-23-04-01,'
''45B0B,','PL40105-50-2J1,¼×Ëá¼×õ¥,' ,' ,'  ,'R23101,'P23102,'S20C14-23-04-01,'
''45AF7,','PL40106-40-2J1,¼×Ëá¼×õ¥,'50¡æ,'0.1MPa,'L,'E23101,'V23101,'S20C14-23-04-01,'
''45A93,','PL40103-25-2J1,¼×Ëá¼×õ¥,'30¡æ,'0.4MPa,'L,'·Ö×°¼ä,'R23101,'S20C14-23-04-01,'
''45A7F,','PL40102-25-2J1,¼×Ëá¼×õ¥,'30¡æ,'0.1MPa,'L,'ÒÆ¶¯´¢¹Þ,'R23101,'S20C14-23-04-01,'
''45A6B,','PL40101-25-2J1,¼×Ëá¼×õ¥,'30¡æ,'0.1MPa,'L,'ÒÆ¶¯´¢¹Þ,'R23101,'S20C14-23-04-01,'
