数据ID,设备位号,设备名称,设备类型,设备体积,工作介质,工作温度,工作压力,电机功率,电机是否防爆,电机级数,反应釜转数,设备尺寸,设备材质,设备重量,设备型号,保温厚度,设备数量,极限温度,极限压力
'41BDB,R23104,水解反应罐,闭式反应釜,,甲醇,0~100℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'41BC8,D23101,方型真空烘箱,闭式反应釜,,甲醇,25,0.1MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'41B75,R23105,水解精制罐,闭式反应釜,,甲醇,0~100℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'41B32,M23102,离心机,闭式反应釜,,甲醇,25,0.1MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'41A7F,R23103,醚化精制罐,闭式反应釜,,甲醇,0~100℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'41A2C,M23101,离心机,闭式反应釜,,甲醇,25,0.1MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'419D6,R23102,醚化反应罐,闭式反应釜,,甲醇,0~100℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'419C3,D23301,方型真空烘箱,闭式反应釜,,甲醇,25,-0.09MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'419B0,M23301,离心机,闭式反应釜,,甲醇,25,0.1MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'4194D,R23308,精制溶解罐,闭式反应釜,,甲醇,0~100℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'4193A,R23307,萃取罐,闭式反应釜,,甲醇,28~36℃,0.05MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'418E7,R23309,精制浓缩罐,闭式反应釜,,甲醇,0~100℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'41854,R23305,提取罐,闭式反应釜,,甲醇,0~100℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'41831,R23304,分层罐,闭式反应釜,,甲醇,28~36℃,0.05MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'417EE,R23101,酯化反应罐,闭式反应釜,,甲醇,0~100℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'4177B,R23306,浓缩罐,闭式反应釜,,甲醇,0~100℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'416F8,R23302,发酵罐,闭式反应釜,,甲醇,28~36℃,0.05MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'416A5,R23301,种子罐,闭式反应釜,,甲醇,20~120℃,0.1MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'41642,D23204,方型真空烘箱,闭式反应釜,,甲醇,25,-0.09MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'4161F,M23206,离心机,闭式反应釜,,甲醇,25,0.1MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'415DC,R23212,精制浓缩罐,闭式反应釜,,甲醇,0~100℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'41569,R23211,精制溶解罐,闭式反应釜,,甲醇,20~120℃,-0.09~0.2MPa,7.5kW,N,4,,,S30408,,R1000,,,,
'41546,D23203,方型真空烘箱,闭式反应釜,,甲醇,25,-0.09MPa,7.5kW,N,4,,,S30408,,R1000,,,,
