数据ID,设备名称,设备类型代号,设备所在区域,备注,
'12DF,M23201,,,,
'12D8,F23308,,,,
'12D1,F23307,,,,
'12CA,F23306,,,,
'12C3,F23305,,,,
'12BC,F23304,,,,
'12B5,F23303,,,,
'12AE,F23215,,,,
'12A7,F23214,,,,
'12A0,F23212,,,,
'1299,F23211,,,,
'1292,F23210,,,,
'128B,F23209,,,,
'1284,F23208,,,,
'127D,F23207,,,,
'1276,F23206,,,,
'126F,F23205,,,,
'1268,F23204,,,,
'1261,F23203,,,,
'125A,F23202,,,,
'1253,F23201,,,,
'124C,F23102,,,,
'1245,F23101,,,,
'123E,D23203,,,,
'1237,D23202,,,,
'1230,D23201,,,,
'1229,D23201,,,,
'1222,D23101,,,,
'120B,M23201,,,,
'11F4,F23308,,,,
'11DD,F23307,,,,
'11C6,F23306,,,,
'11AF,F23305,,,,
'1198,F23304,,,,
'1181,F23303,,,,
'116A,F23215,,,,
'1153,F23214,,,,
'113C,F23212,,,,
'1125,F23211,,,,
'110E,F23210,,,,
'10F7,F23209,,,,
'10E0,F23208,,,,
'10C9,F23207,,,,
'10B2,F23206,,,,
'109B,F23205,,,,
'1084,F23204,,,,
'106D,F23203,,,,
'1056,F23202,,,,
'103F,F23201,,,,
'1028,F23102,,,,
'1011,F23101,,,,
'FFA,D23203,,,,
'FE3,D23202,,,,
'FCC,D23201,,,,
'FB5,D23201,,,,
'F9E,D23101,,,,
'F78,P23112,,,,
'F71,P23111,,,,
'F6A,P23110,,,,
'F56,P23112,,,,
'F42,P23111,,,,
'F2E,P23110,,,,
'F09,M23205,,,,
'F02,M23204,,,,
'EFB,M23203,,,,
'EF4,M23203,,,,
'EED,M23202,,,,
'EE6,M23102,,,,
'EDF,M23101,,,,
'EC8,M23205,,,,
'EB1,M23204,,,,
'E9A,M23203,,,,
'E83,M23203,,,,
'E6C,M23202,,,,
'E55,M23102,,,,
'E3E,M23101,,,,
'E16,P24302,,,,
'E0F,P23307,,,,
'E08,P23304,,,,
'E01,P23301,,,,
'DFA,P23217,,,,
'DF3,P23215,,,,
'DEC,P23214,,,,
'DE5,P23213,,,,
'DDE,P23212,,,,
'DD7,P23211,,,,
'DD0,P23209,,,,
'DC9,P23207,,,,
'DC2,P23206,,,,
'DBB,P23204,,,,
'DB4,P23203,,,,
'DAD,P23202,,,,
'DA6,P23201,,,,
'D9F,P23108,,,,
'D98,P23107,,,,
'D91,P23106,,,,
'D8A,P23105,,,,
'D83,P23104,,,,
'D7C,P23103,,,,
'D75,P23102,,,,
'D6E,P23101,,,,
'D5B,P24302,,,,
'D48,P23307,,,,
'D35,P23304,,,,
'D22,P23301,,,,
'D0F,P23217,,,,
'CFC,P23215,,,,
'CE9,P23214,,,,
'CD6,P23213,,,,
'CC3,P23212,,,,
'CB0,P23211,,,,
'C9D,P23209,,,,
'C8A,P23207,,,,
'C77,P23206,,,,
'C64,P23204,,,,
'C51,P23203,,,,
'C3E,P23202,,,,
'C2B,P23201,,,,
'C18,P23108,,,,
'C05,P23107,,,,
'BF2,P23106,,,,
'BDF,P23105,,,,
'BCC,P23104,,,,
'BB9,P23103,,,,
'BA6,P23102,,,,
'B93,P23101,,,,
'B6F,X23111,,,,
'B68,E23302,,,,
'B61,E23301,,,,
'B5A,E23229,,,,
'B53,E23228,,,,
'B4C,E23224,,,,
'B45,E23219,,,,
'B3E,E23218,,,,
'B37,E23217,,,,
'B30,E23216,,,,
'B29,E23215,,,,
'B22,E23214,,,,
'B1B,E23213,,,,
'B14,E23212,,,,
'B0D,E23211,,,,
'B06,E23210,,,,
'AFF,E23209,,,,
'AF8,E23208,,,,
'AF1,E23207,,,,
'AEA,E23206,,,,
'AE3,E23205,,,,
'ADC,E23204,,,,
'AD5,E23203,,,,
'ACE,E23202,,,,
'AC7,E23201,,,,
'AC0,E23117,,,,
'AB9,E23116,,,,
'AB2,E23115,,,,
'AAB,E23114,,,,
'AA4,E23113,,,,
'A9D,E23112,,,,
'A96,E23111,,,,
'A8F,E23110,,,,
'A88,E23109,,,,
'A81,E23108,,,,
'A7A,E23107,,,,
'A73,E23106,,,,
'A6C,E23105,,,,
'A65,E23104,,,,
'A5E,E23103,,,,
'A57,E23102,,,,
'A50,E23101,,,,
'A3E,X23111,,,,
'A2C,E23302,,,,
'A1A,E23301,,,,
'A08,E23229,,,,
'9F6,E23228,,,,
'9E4,E23224,,,,
'9D2,E23219,,,,
'9C0,E23218,,,,
'9AE,E23217,,,,
'99C,E23216,,,,
'98A,E23215,,,,
'978,E23214,,,,
'966,E23213,,,,
'954,E23212,,,,
'942,E23211,,,,
'930,E23210,,,,
'91E,E23209,,,,
'90C,E23208,,,,
'8FA,E23207,,,,
'8E8,E23206,,,,
'8D6,E23205,,,,
'8C4,E23204,,,,
'8B2,E23203,,,,
'8A0,E23202,,,,
'88E,E23201,,,,
'87C,E23117,,,,
'86A,E23116,,,,
'858,E23115,,,,
'846,E23114,,,,
'834,E23113,,,,
'822,E23112,,,,
'810,E23111,,,,
'7FE,E23110,,,,
'7EC,E23109,,,,
'7DA,E23108,,,,
'7C8,E23107,,,,
'7B6,E23106,,,,
'7A4,E23105,,,,
'792,E23104,,,,
'780,E23103,,,,
'76E,E23102,,,,
'75C,E23101,,,,
'73A,V23307,,,,
'733,V23305,,,,
'72C,V23303,,,,
'725,V23302,,,,
'71E,V23301,,,,
'717,V23251,,,,
'710,V23250,,,,
'709,V23219,,,,
'702,V23216,,,,
'6FB,V23215,,,,
'6F4,V23214,,,,
'6ED,V23213,,,,
'6E6,V23212,,,,
'6DF,V23211,,,,
'6D8,V23210,,,,
'6D1,V23209,,,,
'6CA,V23208,,,,
'6C3,V23207,,,,
'6BC,V23206,,,,
'6B5,V23205,,,,
'6AE,V23204,,,,
'6A7,V23203,,,,
'6A0,V23202,,,,
'699,V23201,,,,
'692,V23128,,,,
'68B,V23127,,,,
'684,V23126,,,,
'67D,V23110,,,,
'676,V23109,,,,
'66F,V23108,,,,
'668,V23107,,,,
'661,V23106,,,,
'65A,V23105,,,,
'653,V23104,,,,
'64C,V23103,,,,
'645,V23102,,,,
'63E,V23101,,,,
'628,V23307,,,,
'612,V23305,,,,
'5FC,V23303,,,,
'5E6,V23302,,,,
'5D0,V23301,,,,
'5BA,V23251,,,,
'5A4,V23250,,,,
'58E,V23219,,,,
'578,V23216,,,,
'562,V23215,,,,
'54C,V23214,,,,
'536,V23213,,,,
'520,V23212,,,,
'50A,V23211,,,,
'4F4,V23210,,,,
'4DE,V23209,,,,
'4C8,V23208,,,,
'4B2,V23207,,,,
'49C,V23206,,,,
'486,V23205,,,,
'470,V23204,,,,
'45A,V23203,,,,
'444,V23202,,,,
'42E,V23201,,,,
'418,V23128,,,,
'402,V23127,,,,
'3EC,V23126,,,,
'3D6,V23110,,,,
'3C0,V23109,,,,
'3AA,V23108,,,,
'394,V23107,,,,
'37E,V23106,,,,
'368,V23105,,,,
'352,V23104,,,,
'33C,V23103,,,,
'326,V23102,,,,
'310,V23101,,,,
'2EA,R23304,,,,
'2E3,R23302,,,,
'2DC,R23301,,,,
'2D5,R23210,,,,
'2CE,R23209,,,,
'2C7,R23208,,,,
'2C0,R23207,,,,
'2B9,R23206,,,,
'2B2,R23205,,,,
'2AB,R23204,,,,
'2A4,R23203,,,,
'29D,R23202,,,,
'296,R23201,,,,
'28F,R23105,,,,
'288,R23104,,,,
'281,R23103,,,,
'27A,R23102,,,,
'273,R23101,,,,
'22C,R23304,,,,
'215,R23302,,,,
'1FE,R23301,,,,
'1E7,R23210,,,,
'1D0,R23209,,,,
'1B9,R23208,,,,
'1A2,R23207,,,,
'18B,R23206,,,,
'174,R23205,,,,
'15D,R23204,,,,
'146,R23203,,,,
'12F,R23202,,,,
'118,R23201,,,,
'101,R23105,,,,
'EA,R23104,,,,
'D3,R23103,,,,
'BC,R23102,,,,
'A5,R23101,,,,
