数据ID,设备位号,设备名称,设备类型,工作介质,工作温度,工作压力,换热面积,设备尺寸,换热元件规格,设备材质,设备重量,设备型号,保温厚度,设备数量,流程图号,
'6BB51,E090202,冷凝器,缠绕式换热器,甲基四氢呋喃等,25~120℃,-0.098~0.2MPa,6m2,,,,,,,1,,
'6BADA,E090201,冷凝器,缠绕式换热器,甲基四氢呋喃等,25~120℃,-0.098~0.2MPa,6m2,,,,,,,1,,
'6BA65,E090206,冷凝器,缠绕式换热器,甲基四氢呋喃等,25~120℃,-0.098~0.2MPa,6m2,,,,,,,1,,
'51E34,E090504,冷凝器,碳化硅列管换热器,水、异丙醇等,25~120℃,-0.098~0.2MPa,5m2,,,,,,,1,,
'516B6,E090203,冷凝器,缠绕式换热器,甲基四氢呋喃等,25~120℃,-0.098~0.2MPa,6m2,,,,,,,1,,
'51415,E090303,冷凝器,缠绕式换热器,甲基四氢呋喃等,25~120℃,-0.098~0.2MPa,15m2,,,,,,,1,,
'50E0B,E090302,冷凝器,缠绕式换热器,甲基四氢呋喃等,25~120℃,-0.098~0.2MPa,15m2,,,,,,,1,,
'508E5,E090404,冷凝器,缠绕式换热器,甲基四氢呋喃等,25~120℃,-0.098~0.2MPa,15m2,,,,,,,1,,
'50410,E090503,冷凝器,碳化硅列管换热器,水、氨气等,25~120℃,-0.098~0.2MPa,5m2,,,,,,,1,,
'4FCE2,E090403,冷凝器,碳化硅列管换热器,甲基四氢呋喃等,25~120℃,-0.098~0.2MPa,15m2,,,,,,,1,,
'4F744,E090401,冷凝器,碳化硅列管换热器,叠氮化钠、氯化钠、水等,25~120℃,-0.098~0.2MPa,15m2,,,,,,,1,,
'4F30B,E090502,冷凝器,碳化硅列管换热器,水等,25~120℃,-0.098~0.2MPa,5m2,,,,,,,1,,
'4ED36,E090301,冷凝器,碳化硅列管换热器,甲基四氢呋喃等,25~120℃,-0.098~0.3MPa,15m2,,,,,,,1,,
'4E78D,E090402,冷凝器,碳化硅列管换热器,乙醇、甲磺酸、水等,25~120℃,-0.098~0.3MPa,10m2,,,,,,,1,,
'4E303,E090501,冷凝器,碳化硅列管换热器,水等,30~120℃,-0.098~0.3MPa,5m2,,,,,,,1,,
