 ˝æ›ID,π‹µ¿±‡∫≈,π§◊˜ΩÈ÷ ,π§◊˜Œ¬∂»,π§◊˜—π¡¶,œ‡Ã¨,π‹µ¿∆µ„,π‹µ¿÷’µ„,¡˜≥ÃÕº∫≈,±£Œ¬≤ƒ¡œ,±‰µ»º∂–≈œ¢,±‰π‹æ∂–≈œ¢
'68DC6,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03101B,HERR03901,S20C15GS-03-04-01,,,
'62B71,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,RERS03901,R03101A,S20C15GS-03-04-01,,,
'5C286,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25,L,¡œÕ∞,V03101B,S20C15GS-03-04-01,,,
'5C27A,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25,L,¡œÕ∞,V03101A,S20C15GS-03-04-01,,,
'5B896,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25,L,F03101B,F03102B,S20C15GS-03-04-04,,,
'5B88A,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25,L,P03102B,F03101B,S20C15GS-03-04-04,,,
'5B87E,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25,L,PL03126b,R03103B,S20C15GS-03-04-04,,,
'5B872,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,R03103B,PL03121b,S20C15GS-03-04-04,,,
'5B866,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,L,E03103B,R03103B,S20C15GS-03-04-04,,,
'5B84E,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,R03102B,S03101B,S20C15GS-03-04-02,,,
'5B842,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,L,E03102B,R03102B,S20C15GS-03-04-02,,,
'5B836,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,V03102B,PL03110,S20C15GS-03-04-02,,,
'5B82A,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,R03101B,S03101B,S20C15GS-03-04-01,,,
'5B81E,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,L,E03101B,R03101B,S20C15GS-03-04-01,,,
'5B812,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,V03101B,PL03101b,S20C15GS-03-04-01,,,
'5B198,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.7MPa,G,CA03901,P03101,S20C15GS-03-04-03,,,
'5A55E,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25,L,¡œÕ∞,V03102B,S20C15GS-03-04-02,,,
'5A552,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25,L,¡œÕ∞,V03102A,S20C15GS-03-04-02,,,
'5A1D2,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,1VT03106,2VT03901,S20C15GS-03-04-02,,,
'5A1BB,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,E03102B,1VT03901,S20C15GS-03-04-02,,2J1-2A3,
'5A19F,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,1VT03105,2VT03901,S20C15GS-03-04-02,,,
'5962B,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,D03101B,CWR03901,S20C15GS-03-04-03,,,
'59617,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,CWS03901,D03101B,S20C15GS-03-04-03,,,
'595FB,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25MPa,L,CWR03106,SC03902,S20C15GS-03-04-03,,,
'595E7,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,S,LS03903,D03101B,S20C15GS-03-04-03,,,
'58D1C,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,R03103B,CWR03901,S20C15GS-03-04-04,,,
'58D08,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,CWS03901,R03103B,S20C15GS-03-04-04,,,
'58CEC,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25MPa,L,CWS03109,SC03902,S20C15GS-03-04-04,,,
'58CD8,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,S,LS03903,CWR03109,S20C15GS-03-04-04,,,
'580AB,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,R03103A,CWR03901,S20C15GS-03-04-04,,,
'58097,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,CWS03901,R03103A,S20C15GS-03-04-04,,,
'5807B,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25MPa,L,CWS03107,SC03902,S20C15GS-03-04-04,,,
'58067,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,S,LS03903,CWR03107,S20C15GS-03-04-04,,,
'57DA5,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,1VT03106,VP03901,S20C15GS-03-04-02,,2J1-2A3,
'57D8B,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,1VT03105,VP03901,S20C15GS-03-04-02,,2J1-2A3,
'5722C,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03102B,RERR03901,S20C15GS-03-04-02,,,
'5720E,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,RERS03901,R03102B,S20C15GS-03-04-02,,,
'571E6,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03102A,RERR03901,S20C15GS-03-04-02,,,
'571C8,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,RERS03901,R03102A,S20C15GS-03-04-02,,,
'56923,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,V03103,S20C15GS-03-04-03,,2J2-2H1,
'56909,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,V03103,1VT03901,S20C15GS-03-04-03,,,
'568E3,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,V03102A,S20C15GS-03-04-02,,2J2-2J4,
