数据ID,设备位号,设备名称,设备类型,工作介质,工作温度,工作压力,流量,扬程,电机功率,电机是否防爆,电机级数,设备材质,设备重量,设备数量,设备型号,流程图号,
'459B1,P23304,磁力泵,,,,,6.3m3/h,40m,5.5kW,Y,2,S30408,,1,CQ40-25-125,S20C14-23-04-19,
'45703,P23307,隔膜泵,66612B-244-C-V,,,,6.3m3/h,40m,5.5kW,Y,2,S30408,,1,CQ40-25-125,S20C14-23-04-21,
'456F1,P23108,隔膜泵,,,,,6.3m3/h,40m,5.5kW,Y,2,S30408,,1,CQ40-25-125,S20C14-23-04-04,
'456DF,P23105,隔膜泵,,,,,6.3m3/h,40m,5.5kW,Y,2,S30408,,1,CQ40-25-125,S20C14-23-04-02,
'45651,P23310,冷媒输送泵,,,,,6.3m3/h,40m,5.5kW,Y,2,S30408,,1,CQ40-25-125,S20C14-23-04-21,
'45619,P23217,隔膜泵,66612B-244-C-V,,,,6.3m3/h,40m,5.5kW,Y,2,S30408,,1,CQ40-25-125,S20C14-23-04-14,
'45591,P23201,隔膜泵,,,,,6.3m3/h,40m,5.5kW,Y,2,S30408,,1,CQ40-25-125,S20C14-23-04-08,
'4557F,P23104,隔膜泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-02,
'454F5,P23109,冷媒输送泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-05,
'454D2,P23107,冷媒输送泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-04,
'45378,P23106,冷媒输送泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-03,
'45355,P23103,冷媒输送泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-02,
'45287,P23308,磁力泵,NMQ50-32-160,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-21,
'45253,P23309,磁力泵,NMQ50-32-160,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-21,
'451CD,P23312,输送泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-22,
'451A5,P23313,冷媒输送泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-22,
'45182,P23301,磁力泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-19,
'45170,P23303,磁力泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-19,
'4513C,P23302,磁力泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-19,
'450D8,P23102,输送泵,隔膜泵,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-01,
'4508A,P23101,冷媒输送泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-01,
'45030,P23305,输送泵,,,,,6.3m3/h,40m,5.5kW,Y,4,S30408,,1,CQ40-25-125,S20C14-23-04-20,
'45008,P23306,冷媒输送泵,,,,,6.3m3/h,40m,5.5kW,Y,2,S30408,,1,CQ40-25-125,S20C14-23-04-20,
'44E54,P23221,输送泵,,,,,6.3m3/h,40m,5.5kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-16,
'44E2C,P23219,冷媒输送泵,,,,,6.3m3/h,40m,5.5kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-16,
'44DE7,P23218,磁力泵,,,,,6.3m3/h,40m,5.5kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-15,
'44D4A,P23215,冷媒输送泵,,,,,6.3m3/h,40m,5.5kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-14,
'44D05,P23214,磁力泵,NMQ50-32-160,,,,6.3m3/h,40m,5.5kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-13,
'44CF3,P23213,磁力泵,NMQ50-32-160,,,,6.3m3/h,40m,11kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-13,
'44C48,P23212,输送泵,,,,,6.3m3/h,40m,11kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-12,
'44C20,P23211,冷媒输送泵,,,,,6.3m3/h,40m,11kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-12,
'44B95,P23209,冷媒输送泵,,,,,6.3m3/h,40m,11kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-11,
'44AFA,P23206,输送泵,,,,,6.3m3/h,40m,11kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-10,
'44ABD,P23207,冷媒输送泵,,,,,6.3m3/h,40m,11kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-10,
'44A78,P23204,磁力泵,NMQ50-32-160,,,,6.3m3/h,40m,11kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-09,
'44A66,P23203,磁力泵,NMQ50-32-160,,,,6.3m3/h,40m,11kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-09,
'44A2D,P23202,隔膜泵,,,,,6.3m3/h,40m,11kW,N,1,S30408,,1,CQ40-25-125,S20C14-23-04-08,
