数据ID,设备位号,设备名称,设备类型,设备体积,工作介质,工作温度,工作压力,电机功率,电机是否防爆,电机级数,反应釜转数,设备尺寸,设备材质,设备重量,设备型号,保温厚度,设备数量,流程图号,自定义关键参数1,自定义关键参数2,,,
'46426,R71301,反应釜,,200L,,,,,,,,,SS,,,,,,,,,,
'463D8,R71401,反应釜,,200L,,,,,,,,,SS,,,,,,,,,,
'462E3,R71402,反应釜,,200L,,,,,,,,,SS,,,,,,,,,,
'4622B,R71101,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'461EB,R71102,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'46199,R71103,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'4611F,R71302,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'460E0,R71303,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'46093,R71304,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'4601F,R71403,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'45F7D,R71404,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'45F19,R71405,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'45E64,R71406,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'45DF0,R71407,反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
'45D88,R71104,反应釜,,1000L,,,,,,,,,SS,,,,,,,,,,
'45D5F,R71105,反应釜,,1000L,,,,,,,,,SS,,,,,,,,,,
'45D48,R71201,反应釜,,1000L,,,,,,,,,SS,,,,,,,,,,
'45D09,R71408,反应釜,,1000L,,,,,,,,,SS,,,,,,,,,,
'22F99,R71409,反应釜,,1000L,,,,,,,,,SS,,,,,,,,,,
'22F99,R71106,反应釜,,2000L,,,,,,,,,SS,,,,,,,,,,
'22F99,R71107,反应釜,,2000L,,,,,,,,,SS,,,,,,,,,,
'22F99,R71202,反应釜,,2000L,,,,,,,,,SS,,,,,,,,,,
'22F99,R71203,反应釜,,2000L,,,,,,,,,SS,,,,,,,,,,
'22F99,R71204,反应釜,,3000L,,,,,,,,,SS,,,,,,,,,,
'22F99,R71410,反应釜,,100L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71305,反应釜,,200L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71306,反应釜,,200L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71307,反应釜,,200L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71108,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71109,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71308,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71309,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71310,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71311,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71312,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71411,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71412,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71413,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71414,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71415,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71416,反应釜,,500L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71110,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71111,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71205,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71206,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71207,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71313,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71417,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71418,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71419,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71420,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71421,反应釜,,1000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71422,反应釜,,2000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71112,反应釜,,2000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71208,反应釜,,2000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71209,反应釜,,2000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71210,反应釜,,2000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71211,反应釜,,3000L,,,,,,,,,GL,,,,,,,,,,
'22F99,R71314,高温反应釜,,500L,,,,,,,,,SS衬钛,,,,,,,,,,
'22F99,R71315,低温反应釜,,500L,,,,,,,,,SS,,,,,,,,,,
