数据ID,序号,图号及标准号,名称,材料规格,材质,数量,倍数,仪表类型,备注,备用属性
'BB40,5,Q41F-16P,法兰盖,50-16 RF,304,1,55,,,
'BB34,3,GB/T6175,法兰盖,M16,30CrMo,16,55,,,
'BB28,2,HG/T20613,法兰盖,M16x85,35CrMo,8,55,,,
'BB1C,1,HG/T20606,法兰盖,RF-E  50-16  RSB/304,增强柔性石墨板,2,55,,,
'BB10,5,Q41F-16P,法兰盖,25-16 RF,304,1,21,,,
'BB04,3,GB/T6175,法兰盖,M12,30CrMo,16,21,,,
'BAF8,2,HG/T20613,法兰盖,M12x75,35CrMo,8,21,,,
'BAEC,1,HG/T20606,法兰盖,RF-E  25-16  RSB/304,增强柔性石墨板,2,21,,,
'B9CC,3,GB/T6175,法兰盖,M12,30CrMo,16,1,,,
'B9C0,2,HG/T20613,法兰盖,M12x75,35CrMo,8,1,,,
'B9B4,1,HG/T20606,法兰盖,RF-E  25-16  RSB/304,增强柔性石墨板,2,1,,,
'B9A8,5,Q41F-16P,法兰盖,25-16 RF,304,1,1,,,
'B99C,4,HG/T 20592,法兰盖,BL 25-16 RF,304,1,1,,,
'B990,8,,法兰盖,%%C14/8，δ=2,增强柔性石墨板,1,1,,,
'B984,6,YZF1-1,法兰盖,PN63，%%C14x2,304,1,1,,,
'B978,7,YZG5-20,法兰盖,PN63，M20x1.5/%%C14,304,1,1,,,
'B96C,5,Q41F-16P,法兰盖,25-16 RF,304,1,1,,,
'B960,4,HG/T 20592,法兰盖,BL 25-16 RF,304,1,1,,,
'B954,8,,法兰盖,%%C14/8，δ=2,增强柔性石墨板,1,1,,,
'B948,6,YZF1-1,法兰盖,PN63，%%C14x2,304,1,1,,,
'B93C,7,YZG5-20,法兰盖,PN63，M20x1.5/%%C14,304,1,1,,,
'B930,3,GB/T6175,法兰盖,M12,30CrMo,16,1,,,
'B924,2,HG/T20613,法兰盖,M12x75,35CrMo,8,1,,,
'B918,1,HG/T20606,法兰盖,RF-E  25-16  RSB/304,增强柔性石墨板,2,1,,,
