,功能代号,房间/系统号,序号,,,单位,,,r/min,m3/h,Pa,Pa,Pa,kW,,,,W/(m3/h),,dB(A),kg,mm,,mm,,,服务区域,
,汉瑞药业有限公司年产70吨抗病毒蛋白酶抑制剂原料药及其他药物关键中间体项目,3车间,S20A90NS-3-02,暖通,,,,,,,,,,,,,,,,,,,,,,,,
,tag1,tag2,tag3,name,type,unit,num,runMode,rotateSpeed,airVolume,fullPressure,staticPressure,residualPressure,power,voltage,transferMode,fanEfficiency,unitPower,efficiency,noise,weight,size,ioPosition,ioSize,explosionProof,source,comment1,comment2
,PFJ,101,01,防爆柜式离心风机箱,HTFC-I-30-Ex,个,4,,500,46330,701,,,18.5,3PH/380V/50Hz,风机与电机直联,0.7,32.5350413069711,2级,74,656,,,,ExdIIBT4,甲供,1-6轴生产车间,3用1备
,PFJ,102,02,防爆边墙风机,DWEX-250-Ex,个,1,,1450,1260,72,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,3.34168755221387,2级,56,18,,,,ExdIIBT4,甲供,工器具清洗存放间,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,103,03,防爆边墙风机,DWEX-350-Ex,个,1,,1450,2520,,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,,2级,63,21,,,,ExdIIBT4,甲供,工器具清洗存放间,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,104,04,防爆边墙风机,DWEX-250-Ex,台,1,,1450,1260,,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,,2级,56,18,,,,ExdIIBT4,订货,模块8间,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,105,01,防爆边墙风机,DWEX-350-Ex,台,1,,1450,2520,94,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,4.36275874872366,2级,63,21,,,,ExdIIBT4,订货,粉碎内包间 2,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,201,01,防爆柜式离心风机箱,HTFC-I-30-Ex,台,4,,500,46330,701,606,,18.5,3PH/380V/50Hz,风机与电机直联,0.7,32.5350413069711,2级,74,656,,,,ExdIIBT4,订货,6-10轴生产车间,3用1备
,PFJ,301,01,防爆柜式离心风机箱,HTFC-I-30-Ex,台,4,,500,46330,701,606,,18.5,3PH/380V/50Hz,风机与电机直联,0.7,32.5350413069711,2级,74,656,,,,ExdIIBT4,订货,1-6轴生产车间,3用1备
,PFJ,302,01,防爆边墙风机,DWEX-250-Ex,台,1,,1450,1260,72,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,3.34168755221387,2级,56,18,,,,ExdIIBT4,订货,液体暂存间 3,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,303,01,防爆边墙风机,DWEX-350-Ex,台,1,,1450,2520,94,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,4.36275874872366,2级,63,21,,,,ExdIIBT4,订货,液体暂存间 3,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,304,01,防爆边墙风机,DWEX-250-Ex,台,1,,1450,1260,72,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,3.34168755221387,2级,56,18,,,,ExdIIBT4,订货,中间体暂存间 2,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,305,01,防爆边墙风机,DWEX-350-Ex,台,1,,1450,2520,94,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,4.36275874872366,2级,63,21,,,,ExdIIBT4,订货,中间体暂存间 2,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,306,01,防爆边墙风机,DWEX-250-Ex,台,1,,1450,1260,72,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,3.34168755221387,2级,56,18,,,,ExdIIBT4,订货,液体暂存间 3,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,307,01,防爆边墙风机,DWEX-350-Ex,台,1,,1450,2520,94,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,4.36275874872366,2级,63,21,,,,ExdIIBT4,订货,液体暂存间 3,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,308,01,防爆边墙风机,DWEX-250-Ex,台,1,,1450,1260,72,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,3.34168755221387,2级,56,18,,,,ExdIIBT4,订货,液体暂存间 3,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,309,01,防爆边墙风机,DWEX-350-Ex,台,1,,1450,2520,94,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,4.36275874872366,2级,63,21,,,,ExdIIBT4,订货,液体暂存间 3,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,310,01,防爆边墙风机,DWEX-250-Ex,台,1,,1450,1260,72,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,3.34168755221387,2级,56,18,,,,ExdIIBT4,订货,固体暂存间,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,311,01,防爆边墙风机,DWEX-350-Ex,台,1,,1450,2520,94,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,4.36275874872366,2级,63,21,,,,ExdIIBT4,订货,固体暂存间,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,312,01,防爆屋顶排风机,DWT-5-0.25-Ex,台,2,,720,6000,88,,,0.25,3PH/380V/50Hz,风机与电机直联,0.7,4.08428478603917,2级,58,59,,,,ExdIICT4,订货,加氢后处理间,1用1备
,PFJ,313,01,防爆柜式离心风机箱,HTFC-I-12-Ex,台,2,,950,4980,402,359,,1.5,3PH/380V/50Hz,风机与电机直联,0.7,18.6577554998608,2级,60,104,,,,ExdIICT4,订货,加氢后处理间,1用1备
,PFJ,314,01,防爆边墙风机,DWEX-250-Ex,台,1,,1450,630,99,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,4.59482038429407,2级,56,18,,,,ExdIIBT4,订货,男厕,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
,PFJ,315,01,防爆边墙风机,DWEX-250-Ex,台,1,,1450,630,99,,,0.12,3PH/380V/50Hz,风机与电机直联,0.7,4.59482038429407,2级,56,18,,,,ExdIIBT4,订货,女厕,出口自带60°防雨弯头；出口自带不锈钢防虫网；入口自带不锈钢防护网；出口自带重力止回阀
